Error code	Reason	processing method	
110	Fanin detect speed error	Check whether the fan connection is normal, or replace the power supply, or replace the fan	
111	Fanout detect speed error	Check whether the fan connection is normal, or replace the power supply, or replace the fan	
120	Fanin speed error?Deviation 2000+?	Check whether the fan connection is normal, or replace the power supply, or replace the fan	
121	Fanout speed error?Deviation 2000+?	Check whether the fan connection is normal, or replace the power supply, or replace the fan	
130	Fanin speed error?Deviation 3000+?	Check whether the fan connection is normal, or replace the power supply, or replace the fan	
131	Fanout speed error?Deviation 3000+?	Check whether the fan connection is normal, or replace the power supply, or replace the fan	
140	Fan speed is too high	Please check the environment temperature	
200	Power probing error, no power found	Detecting power output wiring, updating the latest firmware, or replacing power supply	
201	Power supply and configuration file mismatch	Replace the correct power supply	
202	Power output voltage error	Upgrade the latest firmware or check the power supply	
203	Power protecting	Please check the environment temperature	
204	Power current protecting	Please check the environment temperature	
205	Power current error	Inspection of power supply in power grid	
206	Power input voltage is low	Improve power supply conditions and input voltage	
207	Power input current protecting	Improve power supply conditions and input voltage	
210	Power error status	Check power failure code	
213	Power input voltage and current do not match the power	Replace the power	
233	Power output over temperature protection	Please check the environment temperature	
234	Power output over temperature protection	Please check the environment temperature	
235	Power output over temperature protection	Please check the environment temperature	
236	Overcurrent Protection of Power Output	Please check the environment temperature?check copper row screw	
237	Overcurrent Protection of Power Output	Please check the environment temperature?check copper row screw	
238	Overcurrent Protection of Power Output	Please check the environment temperature?check copper row screw	
239	Overvoltage Protection of Power Output	Inspection of power supply in power grid	
240	Low Voltage Protection for Power Output	Inspection of power supply in power grid	
241	Power output current imbalance	Replace the power	
243	Over-temperature Protection for Power Input	Please check the environment temperature	
244	Over-temperature Protection for Power Input	Please check the environment temperature	
245	Over-temperature Protection for Power Input	Please check the environment temperature	
246	Overcurrent Protection for Power Input	Please check the environment temperature	
247	Overcurrent Protection for Power Input	Please check the environment temperature	
248	Overvoltage Protection for Power Input	Inspection of power supply in power grid	
249	Overvoltage Protection for Power Input	Inspection of power supply in power grid	
250	Undervoltage Protection for Power Input	Inspection of power supply in power grid	
251	Undervoltage Protection for Power Input	Inspection of power supply in power grid	
253	Power Fan Error	Replacing power	
254	Power Fan Error	Replacing power	
255	Protection of over power output	Please check the environment temperature	
256	Protection of over power output	Please check the environment temperature	
257	Input over current protection of power supply primary side	Try to power off and restart, no effect to replace the power supply	
263	Power communication warning	Check whether the screws of the control board are locked	
264	Power communication error	Check whether the screws of the control board are locked	
267	Power watchdog protection	Contact the technician in time	
268	Power output over-current protection	Check the ambient temperature, check the copper bar screw	
269	Power input over-current protection	Improve power supply conditions and input voltage	
270	Power input over-voltage protection	Inspection of power supply in power grid	
271	Power input under-voltage protection	Inspection of power supply in power grid	
272	Warning of excessive power output of power supply	Please check the environment temperature	
273	Power input power too high warning	Please check the environment temperature	
274	Power fan warning	Check if the power fan is blocked and may need to be replaced	
275	Power over temperature warning	Please check the environment temperature	
300	SM0 temperature sensor detection error	Check the connection of the hashboard	
301	SM1 temperature sensor detection error	Check the connection of the hashboard	
302	SM2 temperature sensor detection error	Check the connection of the hashboard	
320	SM0 temperature reading error	Check whether the control board screw is locked properly, check the connection board and the arrangement contact	
321	SM1 temperature reading error	Check whether the control board screw is locked properly, check the connection board and the arrangement contact	
322	SM2 temperature reading error	Check whether the control board screw is locked properly, check the connection board and the arrangement contact	
329	Control board temperature sensor communication error	Replace the power supply	
350	SM0 temperature protecting	Please check the environment temperature	
351	SM1 temperature protecting	Please check the environment temperature	
352	SM2 temperature protecting	Please check the environment temperature	
410	SM0 detect eeprom error	Check adapter board and wiring contact	
411	SM1 detect eeprom error	Check adapter board and wiring contact	
412	SM2 detect eeprom error	Check adapter board and wiring contact	
420	SM0 parser eeprom error	Contact the technician in time	
421	SM1 parser eeprom error	Contact the technician in time	
422	SM2 parser eeprom error	Contact the technician in time	
430	SM0 chip bin type error	Contact the technician in time	
431	SM1 chip bin type error	Contact the technician in time	
432	SM2 chip bin type error	Contact the technician in time	
440	SM0 eeprom chip num  X error	Contact the technician in time	
441	SM1 eeprom chip num  X error	Contact the technician in time	
442	SM2 eeprom chip num  X error	Contact the technician in time	
510	SM0 miner type error	The version and type of hashboard are inconsistent, replace the correct hashboard	
511	SM1 miner type error	The version and type of hashboard are inconsistent, replace the correct hashboard	
512	SM2 miner type error	The version and type of hashboard are inconsistent, replace the correct hashboard	
530	SM0 not found	Check the connection and arrangement of the adapter board, or replace the control board, check whether the hash board connector is empty welded	
520	SM0 bin type error	The chip type of the hashrate board is inconsistent, replace the correct hashrate board	
521	SM1 bin type error	The chip type of the hashrate board is inconsistent, replace the correct hashrate board	
522	SM2 bin type error	The chip type of the hashrate board is inconsistent, replace the correct hashrate board	
531	SM1 not found	Check the connection and arrangement of the adapter board, or replace the control board, check whether the hash board connector is empty welded	
532	SM2 not found	Check the connection and arrangement of the adapter board, or replace the control board, check whether the hash board connector is empty welded	
540	SM0 reading chip id error	Check adapter board and wiring contact?Clean the dust on the hashboard	
541	SM1 reading chip id error	Check adapter board and wiring contact?Clean the dust on the hashboard	
542	SM2 reading chip id error	Check adapter board and wiring contact?Clean the dust on the hashboard	
550	SM0 have bad chips	Replacement of bad chips	
